,code,name,signal,price,date,market_value,daily_amount
603236,603236,移远通信,买入,53.89,2024-11-08,14257941684.0,686925250.0
603283,603283,赛腾股份,买入,78.63,2024-11-08,15750858717.0,905670180.0
603288,603288,海天味业,卖出,48.79,2024-11-08,271301700542.0,1295317368.0
603290,603290,斯达半导,卖出,106.65,2024-11-08,25529513963.0,1723476564.0
603296,603296,华勤技术,买入,59.83,2024-11-08,60780735795.0,1384511891.0
603369,603369,今世缘,买入,47.49,2024-11-08,59576205000.0,817601660.0
603392,603392,万泰生物,买入,73.81,2024-11-08,93378711949.0,386756995.0
603501,603501,韦尔股份,买入,111.66,2024-11-08,135602920160.0,3650972627.0
603516,603516,淳中科技,买入,34.98,2024-11-08,7060425429.0,1033485027.0
603589,603589,口子窖,买入,42.9,2024-11-08,25740000000.0,1115069656.0
603596,603596,伯特利,买入,50.98,2024-11-08,30921705904.0,526244512.0
603613,603613,国联股份,买入,25.98,2024-11-08,18719572382.0,491146391.0
603650,603650,彤程新材,卖出,38.0,2024-11-08,22765030614.0,1130762130.0
603662,603662,柯力传感,卖出,41.94,2024-11-08,11812796326.0,1291723498.0
603712,603712,七一二,买入,19.55,2024-11-08,15092600000.0,667433548.0
603863,603863,松炀资源,买入,32.8,2024-11-08,6712520000.0,373536863.0
603927,603927,中科软,卖出,25.67,2024-11-08,21332796800.0,1483202544.0
603979,603979,金诚信,买入,42.74,2024-11-08,26659470815.0,523642108.0
605218,605218,伟时电子,卖出,31.11,2024-11-08,6621248941.0,589294858.0
